name_p,username_p,created_at_t,year,text_t,lang_t,url_t,imagework,annotator
Cornwall Police Service,cwlpolice,2015-04-13T17:24:59Z,2015,Cst#134 Policw auction!! http://t.co/JW57PmpnSu http://t.co/i6nhVv3L6q,fr,https://twitter.com/cwlpolice/status/587667810794532866,0,DK
Cornwall Police Service,cwlpolice,2017-05-16T13:29:24Z,2017,Cst#134 #PoliceWeekON obstacle course @CDSBEO https://t.co/T2JamnqiEJ,fr,https://twitter.com/cwlpolice/status/864472859539890180,1,DK
Guelph Police Service,GuelphPolice,2018-12-25T13:19:26Z,2018,Assault Police - https://t.co/K8Hbn7DEMi,fr,https://twitter.com/GuelphPolice/status/1077554414708154368,0,AL
London Police Service ON,lpsmediaoffice,2016-01-20T15:42:35Z,2016,Partagez SVP @GRCONT LPS sont à la recherche de Eric ARNDT (30) pour menaces et voies de fait x 2 #ldnont https://t.co/aqxfjFAZPx,fr,https://twitter.com/lpsmediaoffice/status/689835418737467392,0,DK
Ottawa Police,OttawaPolice,2012-12-18T17:48:18Z,2012,#ottpolice à la recherche de témoins d’une collision routière sur le chemin Franktown http://t.co/amV8vMc9,fr,https://twitter.com/OttawaPolice/status/281093546067509249,0,AL
Ottawa Police,OttawaPolice,2012-08-30T20:48:46Z,2012,Update: Stabbing on Van Lang Pr. (picture) http://t.co/YokOTWDJ /Mise à jour : Agression au couteau (photo) http://t.co/soiR6yf0 #OttPolice,fr,https://twitter.com/OttawaPolice/status/241276298029330432,0,DK
Ottawa Police,OttawaPolice,2012-11-30T13:15:49Z,2012,"#FF La sécurité de notre communauté, un travail d'équipe @uOttawa @citecollegiale @AlgonquinColleg @Carleton_U @OCDSB @Parent_Council",fr,https://twitter.com/OttawaPolice/status/274501992901144577,0,AL
Ottawa Police,OttawaPolice,2012-07-23T13:45:08Z,2012,Plus 2 détails sur les appels de service dans votre quartier? Consultez l’outil Le crime @ #Ottawa http://t.co/CQPjPXSM #OttPolice,fr,https://twitter.com/OttawaPolice/status/227398951853248512,0,DK
Ottawa Police,OttawaPolice,2013-04-19T16:36:07Z,2013,Le savais-tu? Conducteur passible d’amende de 240$ + 2 points 2 démérite si 1 passager (2 moins de 16 ans) n’est pas bien attaché. #ottcity,fr,https://twitter.com/OttawaPolice/status/325286699842285569,0,AL
Ottawa Police,OttawaPolice,2013-11-22T18:12:17Z,2013,On célèbrera Hanoukka le jeudi 28 novembre http://t.co/V5rLkghbqr #ottnews,fr,https://twitter.com/OttawaPolice/status/403949069347069952,99,DK
Ottawa Police,OttawaPolice,2013-10-02T15:23:49Z,2013,Mise à jour – Suspect d’un vol arrêté http://t.co/J2YVZTkwWP #ottnews,fr,https://twitter.com/OttawaPolice/status/385424894067884032,0,DK
Ottawa Police,OttawaPolice,2013-06-18T13:38:22Z,2013,Résultats de notre campagne éclair de sûreté à vélo http://t.co/vGxYlZxshB,fr,https://twitter.com/OttawaPolice/status/346985238779535360,0,DK
Ottawa Police,OttawaPolice,2013-11-04T22:40:06Z,2013,"2/2, Ottawa va à YIPI l’initiative Expérience de travail dans les services policiers pour les jeunes",fr,https://twitter.com/OttawaPolice/status/397493485189623808,0,DK
Ottawa Police,OttawaPolice,2014-07-11T16:20:26Z,2014,Accusation portée: Désobéissance à une ordonnance du tribunal contre Kevyn Lex Menard à la suite d'un enlèvement d'enfant et alerte Amber,fr,https://twitter.com/OttawaPolice/status/487632516359401472,0,DK
Ottawa Police,OttawaPolice,2014-02-08T00:15:11Z,2014,"C’est ça, le Canada! Consultez la météo avant de partir en voiture. Le temps n’est pas le même ici, là, ou en chemin. http://t.co/pTR79fPQY2",fr,https://twitter.com/OttawaPolice/status/431944261995474944,0,AL
Ottawa Police,OttawaPolice,2014-08-13T18:29:32Z,2014,La carrière d'agent de police vous convient-elle? Suivez-nous @opsrecruiting et sur Facebook http://t.co/AXudKJM4pQ http://t.co/GSHSJUWngZ,fr,https://twitter.com/OttawaPolice/status/499623809100820482,0,AL
Ottawa Police,OttawaPolice,2014-07-22T17:58:09Z,2014,Brendan David CLARK doit répondre de nouvelles accusations portant sur le leurre d'enfants http://t.co/icecPquCpC #ottnews,fr,https://twitter.com/OttawaPolice/status/491643374827757568,0,DK
Ottawa Police,OttawaPolice,2014-12-20T01:05:08Z,2014,"Vos plans des Fêtes devraient inclure un moyen de rentrer en sûreté avec @ORNottawa, un ami, @OC_Transpo, ou taxi ! http://t.co/senpeg7mru",fr,https://twitter.com/OttawaPolice/status/546109010567774208,0,DK
Ottawa Police,OttawaPolice,2014-08-27T20:09:57Z,2014,L’Unité des crimes majeurs recherche de témoins de l'homicide survenu sur la rue Elgin le 23 août dernier http://t.co/RcX7oKT7Fw #ottnews,fr,https://twitter.com/OttawaPolice/status/504722510429315073,0,AL
Ottawa Police,OttawaPolice,2014-08-07T18:31:09Z,2014,Personne ne mérite d'être une victime. La SPO s'est engagée à soutenir les victimes et à tenir responsable les auteurs d'actes criminels.,fr,https://twitter.com/OttawaPolice/status/497449888175902720,0,DK
Ottawa Police,OttawaPolice,2014-08-11T18:45:40Z,2014,Parlez aux jeunes du sextage et des effets au long terme du contenu internet. Info pour les parents http://t.co/E4guEKkyEs,fr,https://twitter.com/OttawaPolice/status/498903091480383488,0,DK
Ottawa Police,OttawaPolice,2014-10-23T00:33:04Z,2014,Levée du périmètre de sécurité au centre-ville: enquête en cours sur les fusillades http://t.co/AKVwbeoNA0,fr,https://twitter.com/OttawaPolice/status/525082440365518848,0,DK
Ottawa Police,OttawaPolice,2014-12-16T01:19:12Z,2014,"Une période d’examens, ça peut être stressant. Passe un moment en famille ou entre amis. Ta santé mentale est importante. @DistressCentreO",fr,https://twitter.com/OttawaPolice/status/544662996190896128,1,DK
Ottawa Police,OttawaPolice,2014-12-09T13:44:45Z,2014,"2/2 Description, femme race blanche, 5’4 , carrure moyenne, cheveux bruns, masquée d’un foulard, blouson rayé http://t.co/GPXj7YbDmx",fr,https://twitter.com/OttawaPolice/status/542313905826299905,0,AL
Ottawa Police,OttawaPolice,2014-03-16T19:30:49Z,2014,Notre sondage se termine demain. Exprimez-vous sur l’emploi des pistolets électriques « Taser ». http://t.co/sl5YvDQBan,fr,https://twitter.com/OttawaPolice/status/445281053671182336,0,AL
Ottawa Police,OttawaPolice,2015-11-30T18:46:30Z,2015,La Cérémonie de remise des Prix du Service de police d’Ottawa aura lieu ce mardi https://t.co/I9hZT8k69Q #ottnews,fr,https://twitter.com/OttawaPolice/status/671399923808604160,0,AL
Ottawa Police,OttawaPolice,2015-03-04T16:16:15Z,2015,"Recherché: MOHAMED, Yasin #Ottawa #Ont #ONfr http://t.co/YUZS4JLWFr",fr,https://twitter.com/OttawaPolice/status/573155002669252608,0,AL
Ottawa Police,OttawaPolice,2015-07-30T14:45:07Z,2015,La consommation d’alcool chez les plaisanciers est liée à environ 40% des accidents mortels. #Alcoolzéro http://t.co/yYzyoWU8za,fr,https://twitter.com/OttawaPolice/status/626765475737923584,0,DK
Ottawa Police,OttawaPolice,2015-11-03T17:38:14Z,2015,Mise à jour: suspects à identifier dans le cadre d'une enquête sur un vol https://t.co/NTaRwx6TzX #ottnews https://t.co/3xN7zt2CpX,fr,https://twitter.com/OttawaPolice/status/661598269659856896,0,DK
Ottawa Police,OttawaPolice,2016-01-07T16:48:52Z,2016,"RAPPEL Nous ne surveillons pas ce compte 24/7. Pour urgences, composez 911. https://t.co/CT6gbgUh78",fr,https://twitter.com/OttawaPolice/status/685141061472251909,0,AL
